time_id;nome_time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;total;rodadas
29005848;fiel Mikimba fc;57,72;70,58;79,41;39,65;42,67;47,40;86,97;48,10;45,44;35,82;51,00;50,05;86,94;33,81;56,97;86,79;78,12;94,10;72,12;76,60;68,90;93,05;64,90;65,51;83,90;1616,52;25
26507394;GARCIA_SCCP_1910;64,90;73,28;94,26;70,60;90,92;78,52;84,77;66,95;58,24;47,69;89,36;75,95;97,99;56,39;42,45;50,58;77,02;123,55;127,44;106,51;76,91;67,90;53,97;118,50;118,83;2013,48;25
47656429;JOJOBA1976 ;47,61;58,38;89,94;59,79;67,31;75,00;54,87;79,85;66,58;67,45;99,43;48,40;83,25;62,44;57,15;56,14;96,05;110,95;100,25;92,51;76,53;66,44;39,80;112,21;97,03;1865,36;25
3167098;JUVENIL 15;65,56;76,24;91,71;85,55;90,11;70,90;78,01;78,02;84,84;68,09;60,36;82,35;107,72;57,45;61,38;85,10;68,62;110,60;104,68;66,86;72,20;73,81;77,87;122,30;94,28;2034,61;25
44775176;LeomachadoSC;64,50;79,80;90,66;77,73;90,27;79,40;77,97;67,08;92,84;58,29;86,66;61,26;112,09;73,98;58,15;82,40;84,22;116,75;141,98;115,01;85,90;72,71;67,17;123,97;110,03;2170,82;25
2159340;LOUCOS POR PINGA F.C;41,66;69,78;91,66;28,75;61,11;64,16;39,97;84,95;113,14;61,77;81,91;113,70;104,64;62,98;60,60;67,18;80,87;108,70;113,44;119,31;91,25;70,06;73,77;123,37;98,15;2026,88;25
9391447;mansaoDosBons;63,20;78,34;62,84;24,80;84,54;74,80;67,67;67,46;75,23;55,43;70,38;85,29;96,93;58,13;65,55;69,75;67,60;32,47;81,57;64,48;85,96;62,90;59,55;102,21;82,15;1739,23;25
13955378;Masayuki Tateoka FC;72,60;79,18;87,16;92,65;106,90;72,52;86,67;67,55;79,84;57,49;97,16;64,30;81,69;55,75;52,55;58,95;80,42;130,61;123,98;101,91;74,15;67,81;57,17;104,17;104,53;2057,71;25
51044905;Mik@ Pedroso fc;74,56;70,40;95,96;99,40;90,37;64,52;89,26;67,25;84,54;43,09;90,56;81,70;131,99;54,75;52,23;94,44;87,22;104,25;122,98;109,61;90,45;89,81;66,85;107,62;99,19;2163,00;25
8627629;mika Do pedroso fc;62,85;53,60;75,76;76,03;58,52;45,41;67,57;76,45;89,08;51,97;82,56;68,65;91,34;76,63;44,85;74,29;69,12;103,35;76,02;82,81;98,50;69,11;50,15;105,47;78,70;1828,79;25
25276259;mikatuba fc;63,35;67,68;100,86;99,55;91,52;77,51;73,36;77,65;74,34;53,67;86,16;71,35;121,29;77,68;64,93;84,48;67,47;101,90;119,88;81,01;85,05;60,81;72,42;106,62;100,58;2081,12;25
2529723;Monster Fut F.C;47,41;70,00;82,26;64,65;85,27;64,51;76,71;79,95;64,59;72,97;95,86;61,45;103,74;77,55;45,62;53,39;76,02;96,35;51,74;82,21;96,10;71,71;66,85;96,52;81,69;1865,12;25
18988681;MOUSE FUTEBOL E CATCHUP;64,90;81,60;92,41;87,10;107,27;77,05;78,07;81,80;93,80;48,20;92,06;76,36;121,64;57,68;58,00;58,05;80,95;122,65;104,98;116,01;65,50;77,36;74,05;125,97;91,18;2134,64;25
7939743;Oozma Kappa Ror FC;67,46;95,38;82,76;71,60;111,67;72,52;77,67;78,05;85,04;68,37;83,66;84,40;106,39;55,65;62,13;71,88;69,72;110,45;127,58;102,21;88,05;87,31;83,07;129,97;109,03;2182,02;25
50263746;Os Cozidos Do Jabuca Tradicao Cartoleiro;84,35;67,80;89,01;25,80;45,62;86,50;67,21;64,60;79,78;30,12;83,18;58,88;95,96;65,91;68,30;52,94;89,62;84,25;113,13;69,67;47,53;73,10;52,40;62,00;32,49;1690,15;25
22247745;ParmeirinhaFCBr;94,70;77,80;74,51;62,05;88,37;66,35;76,17;74,10;80,88;55,09;74,88;103,84;98,39;50,35;34,55;79,98;70,22;125,34;119,38;76,06;67,35;75,30;79,55;112,57;110,23;2028,01;25
29031465;PegaessepasseF.C.;69,46;72,04;70,24;50,56;58,24;79,56;68,17;78,05;72,78;35,78;84,76;91,30;126,94;57,93;41,27;71,65;62,41;93,75;111,73;115,91;87,24;63,20;80,95;102,37;102,83;1949,12;25
2864056;PegCa;82,81;68,08;83,36;61,95;83,60;49,76;59,27;68,08;89,28;49,67;68,06;65,55;119,89;93,14;58,35;53,50;94,35;101,05;121,98;109,11;84,95;87,31;86,32;101,88;113,83;2055,13;25
28045697;Pelé é gol de videogame ;47,92;39,19;29,31;10,86;14,69;26,66;16,47;35,83;34,46;23,87;30,81;46,82;23,61;20,53;68,29;38,54;29,10;30,71;24,37;36,55;32,25;31,85;24,41;62,04;25,70;804,84;25
336993;PUROMALTISS F.S;60,56;74,40;95,56;82,00;81,57;77,46;56,66;98,35;73,64;45,47;85,76;78,40;121,89;48,13;58,93;73,08;83,62;97,50;122,78;81,41;58,50;61,21;61,85;72,82;85,78;1937,33;25
25311310;Real Memphis SCCP;51,51;78,28;75,56;56,83;64,22;101,39;88,94;90,73;64,01;34,57;53,28;76,82;66,81;73,36;67,25;87,70;37,91;46,10;46,84;117,61;90,85;77,96;55,04;56,13;61,09;1720,79;25
28029518;Roberta Inocêncio F. C.;81,10;79,98;81,76;64,05;89,77;75,60;65,06;76,45;84,88;66,09;93,76;69,68;105,44;42,08;57,72;93,39;70,65;126,10;120,28;96,01;83,35;77,61;75,49;119,38;97,29;2092,97;25
3371353;robson gigante da colina.fc;52,90;104,38;91,55;102,76;98,42;62,71;65,17;80,35;77,88;42,57;82,76;78,90;122,29;44,85;44,00;72,63;66,02;95,45;108,68;111,81;69,34;52,31;55,37;95,31;83,70;1962,11;25
