posicao;time;pontos;media;rodadas;time_id
1;BruxoVerde;1639,26;86,28;19;84327
2;Estat_FC;1634,90;86,05;19;14994410
3;Tuliooo Futebol Clube.....;1624,15;85,48;19;698601
4;Mik@ Pedroso fc;1599,47;84,18;19;51044905
5;MOUSE FUTEBOL E CATCHUP;1584,57;83,40;19;18988681
6;Benfica Portugal;1583,19;83,33;19;25377957
7;CamargoLeme FC;1580,44;83,18;19;14377797
8;Só de boa FC;1577,62;83,03;19;67773
9;mikatuba fc;1574,63;82,88;19;25276259
10;Aquila(tricolor)1993;1573,61;82,82;19;49359599
11;Masayuki Tateoka FC;1547,97;81,47;19;13955378
12;Ziquiriguidum FC;1547,89;81,47;19;2978538
13;Bruno Cavalo FC;1543,03;81,21;19;2965879
14;Barcelusa 2022;1536,05;80,84;19;28698884
15;JUVENIL 15;1527,29;80,38;19;3167098
16;Vicentis.Vangogh FC;1519,82;79,99;19;27705915
17;PUROMALTISS F.S;1515,76;79,78;19;336993
18;Vipper Team;1511,81;79,57;19;1975
19;ParmeirinhaFCBr;1506,95;79,31;19;22247745
20;Wife's Team;1499,61;78,93;19;2238
21;Don Cartolone F.C.;1498,00;78,84;19;4004636
22;Sport Club Pé Torto;1495,10;78,69;19;3507811
23;robson gigante da colina.fc;1494,27;78,65;19;3371353
24;zeca do gueto;1491,93;78,52;19;27264592
25;Araraquara c1ube;1490,87;78,47;19;944071
26;PegCa;1471,73;77,46;19;2864056
27;ROLF - SP23;1471,42;77,44;19;7065998
28;GARCIA_SCCP_1910;1470,86;77,41;19;26507394
29;Febre do Porco;1455,10;76,58;19;13910119
30;Atlético di Ferrari's;1413,59;74,40;19;29223116
31;PegaessepasseF.C.;1396,62;73,51;19;29031465
32;ACTIVA EXPRESS F C;1385,92;72,94;19;47807789
33;Vila Clara City R11;1383,86;72,83;19;806949
34;JOJOBA1976 ;1380,84;72,68;19;47656429
35;Suely68;1379,30;72,59;19;50270999
36;Monster Fut F.C;1370,04;72,11;19;2529723
37;Os Cozidos Do Jabuca Tradicao Cartoleiro;1352,96;71,21;19;50263746
38;FAMÍLIA SAÚDE FC;1306,45;68,76;19;796608
39;Real Memphis SCCP;1262,11;66,43;19;25311310
40;AcessoNegado FC;1172,35;61,70;19;28448371
41;fiel Mikimba fc;1163,66;61,25;19;29005848
42;Vila Campestre 1987;864,23;45,49;19;29995515
43;Rua Alba FS;770,85;40,57;19;51059653
44;Pelé é gol de videogame ;592,04;31,16;19;28045697
