time_id;nome_time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24
25377957;Benfica Portugal;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Vitor Roque|21,20;Calleri|12,10;Flaco López|12,70;Viveros|11,20;Pedro|6,10;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Flaco López|3,80;Canobbio|10,40;Arthur Cabral|2,40;Flaco López|4,40;Neymar|3,90;Kaio Jorge|9,70;Pedro|20,40;Pedro|18,80;Neymar|22,80;Kaio César|2,80;Kaio Jorge|8,50;Viveros|7,40;Neymar|0,00
2965879;Bruno Cavalo FC;Borré|2,40;Flaco López|4,90;Hulk|14,70;Carlos Vinícius|0,20;Luciano|9,80;Lucas Ronier|3,70;Arrascaeta|8,00;Jean Lucas|5,70;Lucas Ronier|12,30;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Viveros|21,10;Viveros|1,60;Flaco López|4,40;John Kennedy|10,00;Kaio Jorge|9,70;Viveros|10,90;Pedro|18,80;Pedro|1,70;Pedro|1,90;Pedro Rocha|9,60;Carbonero|12,00;Neymar|0,00
29269714;Bruno Cavalofc;Borré|2,40;Amuzu|11,20;Viveros|12,80;Flaco López|1,60;Calleri|12,10;Pedro Rocha|8,90;Amuzu|11,50;Vitinho|7,30;Flaco López|3,50;Carlos Vinícius|2,80;Viveros|11,40;Flaco López|3,80;Viveros|21,10;Danilo|5,30;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Samuel Lino|11,60;Samuel Lino|8,90;Flaco López|2,20;Flaco López|0,50;Pedro|20,20;Flaco López|3,00
84327;BruxoVerde;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Carlos Vinícius|0,20;Carlos Vinícius|12,70;Lucas Ronier|3,70;Pedro|0,00;Borré|4,50;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Flaco López|3,80;Viveros|21,10;Arthur Cabral|2,40;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Neymar|22,80;Pedro|1,90;Pedro Rocha|9,60;Viveros|7,40;Neymar|0,00
14377797;CamargoLeme FC;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Carlos Vinícius|0,20;Calleri|12,10;Flaco López|12,70;Pedro|0,00;Andrés Gómez|8,30;Kaio Jorge|8,80;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Viveros|21,10;Pedro|11,80;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Neymar|22,80;Yuri Alberto|3,50;Kaio Jorge|8,50;Viveros|7,40;Neymar|0,00
5374749;Canalhas Jabaquara F.C.;Borré|2,40;Flaco López|4,90;Flaco López|-0,60;Carlos Vinícius|0,20;Calleri|12,10;Flaco López|12,70;Negueba|1,70;Andrés Gómez|8,30;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Calleri|2,70;Calleri|6,00;Flaco López|4,40;Alerrandro|14,40;Kaio Jorge|9,70;Viveros|10,90;Pedro|18,80;Gabriel|2,00;Yuri Alberto|3,50;Kaio Jorge|8,50;Viveros|7,40;Calleri|0,00
28650856;Corsa de Vigo 2017;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Carlos Vinícius|0,20;Calleri|12,10;Flaco López|12,70;Pedro|0,00;Pedro|6,10;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Flaco López|3,80;Viveros|21,10;Arthur Cabral|2,40;Flaco López|4,40;Neymar|3,90;Kaio Jorge|9,70;Pedro|20,40;Pedro|18,80;Gabriel|2,00;Kaio César|2,80;Lucas Barbosa|2,80;Bernabei|3,20;Hulk|14,80
2696056;De Marinha F.C;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Kaio Jorge|1,40;Calleri|12,10;Flaco López|12,70;Pedro|0,00;Pedro|6,10;Kaio Jorge|8,80;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Viveros|21,10;Pedro|11,80;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Gabriel|2,00;Yuri Alberto|3,50;Kaio Jorge|8,50;Viveros|7,40;Canobbio|3,90
4004636;Don Cartolone F.C.;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Borré|2,90;Luciano|9,80;Flaco López|12,70;Pedro|0,00;Andrés Gómez|8,30;Flaco López|3,50;Carlos Vinícius|2,80;Mendoza|12,00;Pedro|7,90;Viveros|21,10;Arthur Cabral|2,40;Flaco López|4,40;Neymar|3,90;Kaio Jorge|9,70;Pedro|20,40;Pedro|18,80;Lucas Barbosa|3,50;Kaio César|2,80;Pedro|-0,30;Viveros|7,40;Flaco López|3,00
29144677;E.C. Pedro Riva;Kaio Jorge|2,20;Kaio Jorge|4,90;Kaio Jorge|9,20;Carlos Vinícius|0,20;Carlos Vinícius|12,70;Carlos Vinícius|0,80;Amuzu|11,50;Carlos Vinícius|9,70;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Neymar|7,50;Carlos Vinícius|1,40;Pedro|11,80;Neymar|10,50;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Pedro|1,70;Bruno Henrique|6,50;Breno Lopes|3,70;Viveros|7,40;Viveros|0,00
