"time_id";"nome_time";"R1";"R2";"R3";"R4";"R5";"R6";"R7";"R8";"R9";"R10";"R11";"R12";"R13";"R14";"R15";"R16";"R17";"R18";"R19";"R20";"R21"
"2965879";"Bruno Cavalo FC";"Borré|2.4";"Flaco López|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Luciano|9.8";"Lucas Ronier|3.7";"Arrascaeta|8";"Jean Lucas|5.7";"Lucas Ronier|12.3";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Viveros|1.6";"Flaco López|4.4";"John Kennedy|10";"Kaio Jorge|9.7";"Viveros|10.9";"Pedro|18.8";"Pedro|1.7";"Pedro|1.9"
"29269714";"Bruno Cavalofc";"Borré|2.4";"Amuzu|11.2";"Viveros|12.8";"Flaco López|1.6";"Calleri|12.1";"Pedro Rocha|8.9";"Amuzu|11.5";"Vitinho|7.3";"Flaco López|3.5";"Carlos Vinícius|2.8";"Viveros|11.4";"Flaco López|3.8";"Viveros|21.1";"Danilo|5.3";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Samuel Lino|11.6";"Samuel Lino|8.9";"Flaco López|2.2"
"84327";"BruxoVerde";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Carlos Vinícius|12.7";"Lucas Ronier|3.7";"Pedro|0";"Borré|4.5";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Flaco López|3.8";"Viveros|21.1";"Arthur Cabral|2.4";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Neymar|22.8";"Pedro|1.9"
"14377797";"CamargoLeme FC";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Calleri|12.1";"Flaco López|12.7";"Pedro|0";"Andrés Gómez|8.3";"Kaio Jorge|8.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Pedro|11.8";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Neymar|22.8";"Yuri Alberto|3.5"
"5374749";"Canalhas Jabaquara F.C.";"Borré|2.4";"Flaco López|4.9";"Flaco López|-0.6";"Carlos Vinícius|0.2";"Calleri|12.1";"Flaco López|12.7";"Negueba|1.7";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Calleri|2.7";"Calleri|6";"Flaco López|4.4";"Alerrandro|14.4";"Kaio Jorge|9.7";"Viveros|10.9";"Pedro|18.8";"Gabriel|2";"Yuri Alberto|3.5"
"28650856";"Corsa de Vigo 2017";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Calleri|12.1";"Flaco López|12.7";"Pedro|0";"Pedro|6.1";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Flaco López|3.8";"Viveros|21.1";"Arthur Cabral|2.4";"Flaco López|4.4";"Neymar|3.9";"Kaio Jorge|9.7";"Pedro|20.4";"Pedro|18.8";"Gabriel|2";"Kaio César|2.8"
"2696056";"De Marinha F.C";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Kaio Jorge|1.4";"Calleri|12.1";"Flaco López|12.7";"Pedro|0";"Pedro|6.1";"Kaio Jorge|8.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Pedro|11.8";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Gabriel|2";"Yuri Alberto|3.5"
"4004636";"Don Cartolone F.C.";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Borré|2.9";"Luciano|9.8";"Flaco López|12.7";"Pedro|0";"Andrés Gómez|8.3";"Flaco López|3.5";"Carlos Vinícius|2.8";"Mendoza|12";"Pedro|7.9";"Viveros|21.1";"Arthur Cabral|2.4";"Flaco López|4.4";"Neymar|3.9";"Kaio Jorge|9.7";"Pedro|20.4";"Pedro|18.8";"Lucas Barbosa|3.5";"Kaio César|2.8"
"29144677";"E.C. Pedro Riva";"Kaio Jorge|2.2";"Kaio Jorge|4.9";"Kaio Jorge|9.2";"Carlos Vinícius|0.2";"Carlos Vinícius|12.7";"Carlos Vinícius|0.8";"Amuzu|11.5";"Carlos Vinícius|9.7";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Neymar|7.5";"Carlos Vinícius|1.4";"Pedro|11.8";"Neymar|10.5";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Pedro|1.7";"Bruno Henrique|6.5"
"14994410";"Estat_FC";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Eduardo Sasha|2.1";"Calleri|12.1";"Flaco López|12.7";"Willian José|5.2";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Flaco López|3.8";"Viveros|21.1";"Kaio Jorge|13";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Viveros|10.9";"Pedro|18.8";"Viveros|19.2";"Pedro|1.9"
"25279461";"Estopim";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Kaio Jorge|1.4";"Calleri|12.1";"Calleri|8.8";"Pedro|0";"Lucas Barbosa|15.2";"Kaio Jorge|8.8";"Pedro|9";"Samuel Lino|14";"Flaco López|3.8";"Viveros|21.1";"Viveros|1.6";"Flaco López|4.4";"Pedro|8.8";"Kaio Jorge|9.7";"Samuel Lino|26";"Pedro|18.8";"Gabriel|2";"Hulk|3.2"
"796608";"FAMÍLIA SAÚDE FC";"Borré|2.4";"Flaco López|4.9";"Negueba|13.5";"Alef Manga|10.1";"Hulk|8.2";"Renato Kayzer|6.9";"Flaco López|5.6";"Vitinho|7.3";"Kaio Jorge|8.8";"Samuel Lino|2.5";"Viveros|11.4";"Calleri|7";"Matheus Martins|7";"Matheus Martins|6.5";"Andrés Gómez|2.9";"Cuello|6";"Luciano|7";"Viveros|10.9";"Luciano|3.7";"Viveros|19.2";"Samuel Lino|10.2"
"13910119";"Febre do Porco";"Lucas Ronier|5";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Carlos Vinícius|12.7";"Carlos Vinícius|0.8";"Pedro|0";"Vitor Roque|3";"Neymar|7.8";"Carlos Vinícius|2.8";"Kaio Jorge|0";"Arrascaeta|13";"Canobbio|10.4";"Arias|5.8";"Flaco López|4.4";"Neymar|3.9";"Kaio Jorge|9.7";"Pedro|20.4";"Pedro|18.8";"Bruno Henrique|3.2";"Hulk|3.2"
"29005848";"fiel Mikimba fc";"Alef Manga|0.9";"Kaio Jorge|4.9";"Kaio Jorge|9.2";"Carlos Vinícius|0.2";"Willian José|2.7";"Flaco López|12.7";"Flaco López|5.6";"Carlos Vinícius|9.7";"Carlos Vinícius|11";"Lucas Ronier|5";"Lucas Ronier|2.8";"Flaco López|3.8";"Canobbio|10.4";"Canobbio|1.2";"Alesson|3.5";"Arias|11.5";"Matheus Pereira|8.1";"Viveros|10.9";"Kaio Jorge|10.9";"Samuel Lino|8.9";"Yuri Alberto|3.5"
"26507394";"GARCIA_SCCP_1910";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Breno Lopes|2.5";"Calleri|12.1";"Flaco López|12.7";"Cristian Olivera|8.4";"Canobbio|5.9";"Neymar|7.8";"Pedro|9";"Viveros|11.4";"Isidro Pitta|18";"Viveros|21.1";"Matheus Martins|6.5";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Neymar|22.8";"Pedro|1.9"
"47656429";"JOJOBA1976 ";"Carbonero|0.5";"Kaio Jorge|4.9";"Hulk|14.7";"Kaio Jorge|1.4";"Calleri|12.1";"Flaco López|12.7";"Pedro|0";"Pedro|6.1";"Hulk|7";"Pedro|9";"Gabriel Taliari|2.9";"Lucas Ronier|4.9";"Pedro|15.6";"Calleri|6";"Lucas Ronier|4.6";"Pedro|8.8";"Kaio Jorge|9.7";"Pedro|20.4";"Pedro|18.8";"Neymar|22.8";"Pedro|1.9"
"3167098";"JUVENIL 15";"Alan Patrick|3";"Lucas Barbosa|3.3";"Viveros|12.8";"Lucas Barbosa|7.4";"Carlos Vinícius|12.7";"Lucho Acosta|6.3";"Arrascaeta|8";"Lucho Acosta|3.5";"Kaio Jorge|8.8";"Carlos Vinícius|2.8";"Kaio Jorge|0";"Flaco López|3.8";"Viveros|21.1";"Pedro|11.8";"Andrés Gómez|2.9";"Neymar|3.9";"Kaio Jorge|9.7";"Allan|-2.1";"Samuel Lino|11.6";"Samuel Lino|8.9";"Hulk|3.2"
"44775176";"LeomachadoSC";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Luciano|9.8";"Lucas Ronier|3.7";"Pedro|0";"Canobbio|5.9";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Pedro|11.8";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Neymar|22.8";"Kaio César|2.8"
"2159340";"LOUCOS POR PINGA F.C";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Kaio Jorge|1.4";"Willian José|2.7";"Canobbio|10.4";"Pedro|0";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Arthur Cabral|11.7";"Pedro|7.9";"Canobbio|10.4";"Viveros|1.6";"Flaco López|4.4";"Flaco López|5.9";"Andrés Gómez|2";"Pedro|20.4";"Pedro|18.8";"Viveros|19.2";"Yuri Alberto|3.5"
"9391447";"mansaoDosBons";"Borré|2.4";"Arthur Cabral|8.9";"Carlos Vinícius|0.7";"Viveros|4.8";"Calleri|12.1";"Flaco López|12.7";"Flaco López|5.6";"Andrés Gómez|8.3";"Arias|4.7";"Cuello|4.7";"John Kennedy|2";"Pedro|7.9";"Canobbio|10.4";"Flaco López|7.8";"Flaco López|4.4";"Neymar|3.9";"John Kennedy|3";"John Kennedy|10";"Kaio Jorge|10.9";"Gabriel|2";"Hulk|3.2"
"13955378";"Masayuki Tateoka FC";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Calleri|12.1";"Flaco López|12.7";"Arrascaeta|8";"Canobbio|5.9";"Neymar|7.8";"Pedro|9";"Viveros|11.4";"Pedro|7.9";"Calleri|2.7";"Flaco López|7.8";"Pedro|0.4";"Cuello|6";"Kaio Jorge|9.7";"Viveros|10.9";"Pedro|18.8";"Gabriel|2";"Canobbio|4.9"
"51044905";"Mik@ Pedroso fc";"Borré|2.4";"Flaco López|4.9";"Hulk|14.7";"Borré|2.9";"Luciano|9.8";"Lucas Ronier|3.7";"Pedro|0";"Pedro|6.1";"Neymar|7.8";"Pedro|9";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Pedro|11.8";"Flaco López|4.4";"Pedro|8.8";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Gabriel|2";"Pedro|1.9"
"8627629";"mika Do pedroso fc";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Hulk|5.3";"Calleri|12.1";"Bolasie|0.9";"Pedro|0";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Everaldo|2.4";"Flaco López|3.8";"Canobbio|10.4";"Danilo|5.3";"Pedro|0.4";"Neymar|3.9";"Pedro|2.1";"Gabriel|6";"Luciano|3.7";"Neymar|22.8";"Kaio César|2.8"
